State,State Code,White,Black,Hispanic,Asian,Others
Alabama,AL,0.654,0.265,0.044,0.0139999999999999,0.0229999999999999
Alaska,AK,0.6,0.022,0.07,0.06,0.248
Arizona,AZ,0.542,0.043,0.318,0.033,0.0639999999999999
Arkansas,AR,0.721,0.152,0.078,0.016,0.033
California,CA,0.364,0.053,0.395,0.147,0.0409999999999999
Colorado,CO,0.6779999999999999,0.038,0.218,0.032,0.034
Connecticut,CT,0.657,0.1,0.1689999999999999,0.046,0.028
Delaware,DE,0.614,0.218,0.0969999999999999,0.039,0.032
District of Columbia,DC,0.367,0.45,0.1119999999999999,0.037,0.0339999999999999
Florida,FL,0.53,0.15,0.266,0.027,0.0269999999999999
Georgia,GA,0.52,0.313,0.098,0.0409999999999999,0.028
Hawaii,HI,0.204,0.012,0.103,0.3939999999999999,0.287
Idaho,ID,0.816,0.0069999999999999,0.129,0.012,0.036
Illinois,IL,0.609,0.136,0.176,0.0559999999999999,0.0229999999999999
Indiana,IN,0.7859999999999999,0.092,0.072,0.024,0.026
Iowa,IA,0.853,0.039,0.063,0.023,0.0219999999999999
Kansas,KS,0.757,0.055,0.122,0.0279999999999999,0.0379999999999999
Kentucky,KY,0.845,0.08,0.037,0.016,0.022
Louisiana,LA,0.588,0.319,0.052,0.017,0.0239999999999999
Maine,ME,0.932,0.0139999999999999,0.017,0.011,0.0259999999999999
Maryland,MD,0.499,0.296,0.106,0.064,0.0349999999999999
Massachusetts,MA,0.705,0.07,0.124,0.067,0.034
Michigan,MI,0.7490000000000001,0.134,0.053,0.032,0.0319999999999998
Minnesota,MN,0.7909999999999999,0.064,0.0559999999999999,0.049,0.0399999999999999
Mississippi,MS,0.5660000000000001,0.376,0.03,0.01,0.0179999999999999
Missouri,MO,0.794,0.1119999999999999,0.043,0.021,0.0299999999999999
Montana,MT,0.861,0.006,0.037,0.008,0.0879999999999999
Nebraska,NE,0.785,0.048,0.113,0.024,0.0299999999999999
Nevada,NV,0.478,0.092,0.293,0.085,0.052
New Hampshire,NH,0.898,0.013,0.039,0.026,0.0239999999999999
New Jersey,NJ,0.545,0.124,0.21,0.096,0.025
New Mexico,NM,0.367,0.017,0.495,0.016,0.1049999999999999
New York,NY,0.552,0.14,0.193,0.086,0.029
North Carolina,NC,0.627,0.209,0.0969999999999999,0.0289999999999999,0.038
North Dakota,ND,0.841,0.024,0.04,0.0139999999999999,0.0809999999999999
Ohio,OH,0.7859999999999999,0.122,0.04,0.023,0.029
Oklahoma,OK,0.65,0.069,0.111,0.021,0.1489999999999999
Oregon,OR,0.75,0.018,0.134,0.047,0.0509999999999999
Pennsylvania,PA,0.76,0.104,0.078,0.035,0.023
Rhode Island,RI,0.705,0.059,0.166,0.033,0.0369999999999999
South Carolina,SC,0.637,0.262,0.057,0.017,0.0269999999999999
South Dakota,SD,0.8190000000000001,0.022,0.037,0.013,0.1089999999999998
Tennessee,TN,0.736,0.1639999999999999,0.057,0.018,0.025
Texas,TX,0.411,0.1169999999999999,0.4,0.05,0.0219999999999999
Utah,UT,0.778,0.01,0.144,0.023,0.0449999999999999
Vermont,VT,0.928,0.011,0.018,0.016,0.027
Virginia,VA,0.613,0.1889999999999999,0.096,0.067,0.0350000000000001
Washington,WA,0.675,0.038,0.13,0.089,0.0679999999999999
West Virginia,WV,0.925,0.032,0.0139999999999999,0.008,0.0209999999999999
Wisconsin,WI,0.8109999999999999,0.062,0.071,0.03,0.026
Wyoming,WY,0.838,0.01,0.1009999999999999,0.006,0.045
